"pad_size","position","track_no","layer_thickness_um","measurement_type","sim_value","exp_mean_value","exp_std_dev"
"1x5","","1","0","bead_height","5.52","0.1","0.9"
"1x5","","1","80","bead_height","36.08","38.3","8.3"
"1x5","","1","160","bead_height","86","82.2","5.7"
"1x5","","2","0","bead_height","3.68","0.6","1.0"
"1x5","","2","80","bead_height","44.98","36.4","6.9"
"1x5","","2","160","bead_height","98.43","95.7","6.1"
"1x5","","3","0","bead_height","1.84","0.7","1.1"
"1x5","","3","80","bead_height","41.78","37.1","6.5"
"1x5","","3","160","bead_height","110.87","96.7","5.4"
"1x5","","4","0","bead_height","3.68","1.0","0.9"
"1x5","","4","80","bead_height","43.11","32.7","4.1"
"1x5","","4","160","bead_height","112.6","93.1","3.4"
"1x5","","5","0","bead_height","0.00","-0.1","0.7"
"1x5","","5","80","bead_height","35.35","30.1","4.0"
"1x5","","5","160","bead_height","106.65","89.8","6.5"
"1x5","","6","0","bead_height","0.00","-0.6","0.6"
"1x5","","6","80","bead_height","35.15","28.4","6.4"
"1x5","","6","160","bead_height","106.84","87.1","8.8"
"1x5","","7","0","bead_height","-1.84","-2.1","0.6"
"1x5","","7","80","bead_height","45.59","26.7","5.9"
"1x5","","7","160","bead_height","99.36","81.7","1.1"
"1x5","","8","0","bead_height","-3.68","-1.3","0.1"
"1x5","","8","80","bead_height","42.36","26.4","7.0"
"1x5","","8","160","bead_height","101.07","79.2","3.9"
"1x5","","9","0","bead_height","-3.68","-1.5","1.8"
"1x5","","9","80","bead_height","43.7","28.1","6.9"
"1x5","","9","160","bead_height","124.21","78.1","6.2"
"1x5","","10","0","bead_height","-1.84","-0.9","1.4"
"1x5","","10","80","bead_height","43.51","26.3","4.9"
"1x5","","10","160","bead_height","132.06","78.9","5.2"
"1x5","","1","0","depth","114.11","124.1","3.6"
"1x5","","1","80","depth","127.57","120.1","4.5"
"1x5","","1","160","depth","93.1","111.3","6.6"
"1x5","","2","0","depth","132.52","160.3","1.9"
"1x5","","2","80","depth","179.28","148.4","9.1"
"1x5","","2","160","depth","138.13","136.7","11.1"
"1x5","","3","0","depth","147.24","167.1","3.5"
"1x5","","3","80","depth","188.54","162.7","0.7"
"1x5","","3","160","depth","144.52","145.6","1.5"
"1x5","","4","0","depth","147.24","174.3","4.9"
"1x5","","4","80","depth","185.7","169.9","3.7"
"1x5","","4","160","depth","155.53","145.9","5.8"
"1x5","","5","0","depth","150.92","177.1","3.7"
"1x5","","5","80","depth","181.34","170.5","5.0"
"1x5","","5","160","depth","161.9","151.4","1.0"
"1x5","","6","0","depth","145.40","181.5","0.7"
"1x5","","6","80","depth","176.98","171.3","2.3"
"1x5","","6","160","depth","149.72","147.7","1.0"
"1x5","","7","0","depth","149.08","174.5","7.3"
"1x5","","7","80","depth","186.26","170.6","6.1"
"1x5","","7","160","depth","146.81","141.2","5.1"
"1x5","","8","0","depth","156.44","179.7","2.4"
"1x5","","8","80","depth","187.96","170.8","0.1"
"1x5","","8","160","depth","159.37","148.0","2.2"
"1x5","","9","0","depth","154.60","176.4","3.1"
"1x5","","9","80","depth","186.63","170.5","4.1"
"1x5","","9","160","depth","156.46","152.7","2.1"
"1x5","","10","0","depth","156.44","179.8","3.6"
"1x5","","10","80","depth","186.82","170.1","4.4"
"1x5","","10","160","depth","150.47","146.6","9.6"
"1x5","","1","0","overlap_depth","49.69","90.1","3.2"
"1x5","","1","80","overlap_depth","82.19","80.6","0.7"
"1x5","","1","160","overlap_depth","28.22","62.8","9.6"
"1x5","","2","0","overlap_depth","79.14","121.6","3.8"
"1x5","","2","80","overlap_depth","133.89","104.7","5.9"
"1x5","","2","160","overlap_depth","77.9","90","4.3"
"1x5","","3","0","overlap_depth","90.18","127.8","4.6"
"1x5","","3","80","overlap_depth","135.59","119","5.3"
"1x5","","3","160","overlap_depth","74.99","92.5","4"
"1x5","","4","0","overlap_depth","103.07","131.1","6.2"
"1x5","","4","80","overlap_depth","131.23","125.9","4"
"1x5","","4","160","overlap_depth","99.92","98.7","7.6"
"1x5","","5","0","overlap_depth","103.07","133.8","5.4"
"1x5","","5","80","overlap_depth","134.45","120.5","3.3"
"1x5","","5","160","overlap_depth","84.65","103","1.7"
"1x5","","6","0","overlap_depth","103.07","132.1","7"
"1x5","","6","80","overlap_depth","143.71","124.6","4.1"
"1x5","","6","160","overlap_depth","97.22","99","2.4"
"1x5","","7","0","overlap_depth","101.23","135.4","3.8"
"1x5","","7","80","overlap_depth","143.91","124.9","3.9"
"1x5","","7","160","overlap_depth","86.57","103.6","9"
"1x5","","8","0","overlap_depth","108.59","132.6","4.1"
"1x5","","8","80","overlap_depth","144.1","126","1.8"
"1x5","","8","160","overlap_depth","105.32","99.7","8.3"
"1x5","","9","0","overlap_depth","115.95","135","4.8"
"1x5","","9","80","overlap_depth","145.79","126","5.2"
"1x5","","9","160","overlap_depth","107.07","105.9","5.7"
"1x5","","10","0","overlap_depth","114.11","132","5.2"
"1x5","","10","80","overlap_depth","147.48","128.3","2.8"
"1x5","","10","160","overlap_depth","91.78","104","8.6"
"1x5","","1","0","width","64.23076677","90.306","2.2"
"1x5","","1","80","width","57.69230564","89.813","3.5"
"1x5","","1","160","width","77.69230564","86.536","4.5"
"1x5","","2","0","width","81.92307242","134.705","2.6"
"1x5","","2","80","width","93.84615016","150.51","7.8"
"1x5","","2","160","width","113.8461502","170.897","0.6"
"1x5","","3","0","width","93.46153177","187.949","4.5"
"1x5","","3","80","width","179.230765","207.1615","5.4"
"1x5","","3","160","width","205.3846113","244.528","11.7"
"1x5","","4","0","width","154.2307614","225.011","8.3"
"1x5","","4","80","width","258.4615335","249.371","4.4"
"1x5","","4","160","width","278.4615335","302.0495","6"
"1x5","","5","0","width","184.2307597","275.123","20.4"
"1x5","","5","80","width","356.153841","289.7535","10.3"
"1x5","","5","160","width","339.2307632","358.227314","7.9"
"1x5","","6","0","width","201.9230653","not measured","not measured"
"1x5","","6","80","width","416.9230706","not measured","not measured"
"1x5","","6","160","width","412.3076855","not measured","not measured"
"1x5","","7","0","width","213.4615247","not measured","not measured"
"1x5","","7","80","width","446.9230689","not measured","not measured"
"1x5","","7","160","width","436.1538374","not measured","not measured"
"1x5","","8","0","width","218.8461377","not measured","not measured"
"1x5","","8","80","width","476.9230671","not measured","not measured"
"1x5","","8","160","width","484.6153745","not measured","not measured"
"1x5","","9","0","width","224.2307508","not measured","not measured"
"1x5","","9","80","width","525.3846042","not measured","not measured"
"1x5","","9","160","width","533.0769116","not measured","not measured"
"1x5","","10","0","width","235.7692101","not measured","not measured"
"1x5","","10","80","width","555.3846024","not measured","not measured"
"1x5","","10","160","width","563.0769098","not measured","not measured"
"5x5","start","1","0","bead_height","-5.53","17.1","2.0"
"5x5","start","1","80","bead_height","45","50.6","11.0"
"5x5","start","1","160","bead_height","89.61","114.4","12.3"
"5x5","start","2","0","bead_height","4.15","-0.9","3.1"
